Title,Body,Labels,Milestone,Priority,Estimate,Area,Dependencies
"EPIC: WAL v2 durability and replay safety","Build versioned append-only WAL with CRC and deterministic replay.\nDoD: all durable event kinds round-trip; corruption behavior documented/tested.","type:epic,area:wal,priority:P0","M4 — WAL Adapter v2","P0","L","wal",""
"feat(wal): define WAL v2 entry schema","Define header, kinds, key fields, version field, CRC coverage, and reserved bytes.","type:feature,area:wal,priority:P0","M4 — WAL Adapter v2","P0","S","wal",""
"feat(wal): append + fsync implementation","Implement append path with fsync discipline and bounded write behavior.","type:feature,area:wal,priority:P0","M4 — WAL Adapter v2","P0","M","wal","feat(wal): define WAL v2 entry schema"
"feat(wal): replay iterator + corruption policy","Implement replay scanner, CRC verification, and stop/skip policy.","type:feature,area:wal,priority:P0,risk:security","M4 — WAL Adapter v2","P0","M","wal","feat(wal): define WAL v2 entry schema"
"test(wal): round-trip and corruption tests","Add tests for all entry kinds plus truncation and CRC mismatch cases.","type:test,area:wal,priority:P0","M4 — WAL Adapter v2","P0","M","wal","feat(wal): replay iterator + corruption policy"
"EPIC: Gossip v2 bounded delta protocol","Implement sectioned packet codec with strict size guarantees and robust decoding.","type:epic,area:gossip,priority:P0","M5 — Gossip Codec v2","P0","L","gossip",""
"feat(gossip): packet section format v1","Define section headers, version bytes, and component section ordering.","type:feature,area:gossip,priority:P0,risk:breaking","M5 — Gossip Codec v2","P0","S","gossip",""
"feat(gossip): encoder for NodeMeta/JobSpec/Placement deltas","Implement stable-order varint/delta encoding for all replicated sections.","type:feature,area:gossip,priority:P0","M5 — Gossip Codec v2","P0","L","gossip","feat(gossip): packet section format v1"
"feat(gossip): decoder hardening","Implement defensive decode with bounds checks and malformed packet rejection.","type:feature,area:gossip,priority:P0,risk:security","M5 — Gossip Codec v2","P0","M","gossip","feat(gossip): packet section format v1"
"test(gossip): payload size budget tests","Add tests ensuring encoded payload never exceeds packet cap under worst-case dirty sets.","type:test,area:gossip,priority:P0","M5 — Gossip Codec v2","P0","M","gossip","feat(gossip): encoder for NodeMeta/JobSpec/Placement deltas"
"EPIC: Placement engine with leases and hysteresis","Implement deterministic scoring, anti-affinity, lease renew/steal rules, and churn controls.","type:epic,area:placement,priority:P0","M6 — Placement Engine (Replicas + Hysteresis + Leases)","P0","L","placement",""
"feat(placement): eligibility filtering","Implement platform/resource/health checks for candidate nodes.","type:feature,area:placement,priority:P0","M6 — Placement Engine (Replicas + Hysteresis + Leases)","P0","M","placement",""
"feat(placement): scoring + tie-break","Implement deterministic scoring and stable tie-break logic.","type:feature,area:placement,priority:P0","M6 — Placement Engine (Replicas + Hysteresis + Leases)","P0","M","placement","feat(placement): eligibility filtering"
"feat(placement): lease renew/steal and hysteresis","Implement lease expiry handling and threshold-based movement controls.","type:feature,area:placement,priority:P0","M6 — Placement Engine (Replicas + Hysteresis + Leases)","P0","L","placement","feat(placement): scoring + tie-break"
"test(sim): churn and convergence scenarios","Add simulation cases for partitions/loss/noisy telemetry; assert convergence and bounded movement.","type:test,area:placement,priority:P0","M6 — Placement Engine (Replicas + Hysteresis + Leases)","P0","L","placement","feat(placement): lease renew/steal and hysteresis"
"EPIC: Runtime reconcile safety","Implement idempotent desired-vs-actual reconcile and execution guards.","type:epic,area:runtime,priority:P0","M7 — Runtime/Reconcile Adapter","P0","L","runtime",""
"feat(runtime): reconcile planner","Compute start/stop/restart actions from desired placements vs local runtime state.","type:feature,area:runtime,priority:P0","M7 — Runtime/Reconcile Adapter","P0","M","runtime",""
"feat(runtime): execution guard requires valid lease ownership","Prevent service execution unless local node owns non-expired lease.","type:feature,area:runtime,priority:P0,risk:security","M7 — Runtime/Reconcile Adapter","P0","M","runtime","feat(runtime): reconcile planner"
"test(runtime): idempotence and restart recovery","Add integration tests for repeated reconcile, process restart, and safe recovery from WAL.","type:test,area:runtime,priority:P0","M7 — Runtime/Reconcile Adapter","P0","L","runtime","feat(runtime): execution guard requires valid lease ownership"
"EPIC: End-to-end daemon + thin CLI/API","Wire adapters with minimal command surface and observability.","type:epic,area:cli-api,priority:P1","M8 — Daemon + Thin CLI/API","P1","L","cli-api",""
"feat(app): daemon loop integration","Integrate ingest -> durable append -> core apply -> effects execution pipeline.","type:feature,area:cli-api,priority:P1","M8 — Daemon + Thin CLI/API","P1","L","cli-api","feat(core): reducers and effects API"
"feat(cli-api): minimal commands","Add deploy/status/peer command set mapped to typed proposals and query views.","type:feature,area:cli-api,priority:P1","M8 — Daemon + Thin CLI/API","P1","M","cli-api","feat(app): daemon loop integration"
"feat(observability): structured logs and key metrics","Add structured logs and baseline counters for gossip, replay, placement churn, and reconcile actions.","type:feature,area:ci,priority:P1","M8 — Daemon + Thin CLI/API","P1","M","ci","feat(app): daemon loop integration"
"EPIC: Hardening and pilot readiness","Close security/performance/documentation gaps and define go/no-go criteria.","type:epic,area:ci,priority:P1","M9 — Hardening","P1","L","ci",""
"task(security): defaults review and lock-down","Review and tighten defaults for socket permissions and plaintext transport toggles.","type:task,area:runtime,priority:P0,risk:security","M9 — Hardening","P0","M","runtime","feat(runtime): execution guard requires valid lease ownership"
"task(perf): memory and convergence baseline report","Capture memory ceilings, convergence latency, and churn baseline from simulation matrix.","type:task,area:ci,priority:P1,risk:perf","M9 — Hardening","P1","M","ci","test(sim): churn and convergence scenarios"
"task(docs): migration + rollback playbook","Write cutover criteria, migration steps, rollback procedure, and incident response notes.","type:task,area:doc,priority:P1","M10 — Pilot Readiness","P1","M","ci","EPIC: End-to-end daemon + thin CLI/API"
